stock,trades,total_return,ann_return,sharpe,max_drawdown
000913.SH,2,0.018432172348961107,0.002599321873533178,-3.815427765696273,-0.0002486244885288761
501037.SH,12,0.37601563520135817,0.05189041112887649,0.20949203626977658,-0.25827002215891093
301101.SZ,9,0.15039484495713817,0.04444007924242044,0.1476516585393194,-0.1856950042601577
300723.SZ,21,1.0218165881515229,0.1052376759707847,0.5066849308898014,-0.2143823766209293
159628.SZ,4,-0.010876304751451071,-0.0040925591171149245,-0.21891076104210855,-0.1616246275010645
118003.SH,1,-0.007759871071716384,-0.002420663181315952,-4.651723327951737,-0.008598687653476081
900906.SH,10,0.24083270347413843,0.0394613645518227,0.0698057884138797,-0.5187650805688088
002899.SZ,21,0.3094545435144562,0.03906399021008311,0.09391415218171964,-0.4066751127667001
603678.SH,26,-0.10776792956914738,-0.016076539658284483,-0.2272710986068239,-0.4579089393289554
001267.SZ,11,0.4527673299990336,0.12022296921953335,0.3187852136108094,-0.3370212463063335
001210.SZ,12,0.41019999207428315,0.10044329025215948,0.3023516885120539,-0.37147711032368275
003020.SZ,18,-0.02108295482824385,-0.005072046467663016,-0.13732318713771893,-0.25656928111900973
300645.SZ,27,-0.24179643502326653,-0.03879326542417749,-0.2103121312305718,-0.4108235303135434
300886.SZ,17,-0.05257673497980975,-0.012252535963030886,-0.1930475515366639,-0.266880389162353
880771.SH,7,-0.042122574644290145,-0.00748221087487444,-1.8399820478663231,-0.042122574644290145
000937.SZ,12,0.12454279882761465,0.01682289942156867,-0.015477779135765297,-0.5146666117733695
300301.SZ,8,-0.2131148736954741,-0.0338102032351848,-0.20403055886028013,-0.6016342776160394
881477.SH,12,0.0704790692606605,0.009727083433466177,-0.4235118729487952,-0.03937366719405653
603607.SH,22,-0.2902124356863779,-0.047579703549917474,-0.35009920031549907,-0.34323652442721186
300675.SZ,24,0.47165352815763795,0.05645387086669951,0.10162668970161975,-0.3850922931504357
688180.SH,17,0.09388671184418262,0.019703033490221733,-0.0018507198167909602,-0.27140668534960605
501206.SH,7,0.023551468783800766,0.0057115498324487035,-0.17380470697330977,-0.21996281021341285
000421.SZ,13,-0.32828278595783744,-0.05529035172564478,-0.3884780343640934,-0.48999540202166747
160617.SZ,0,0.0,0.0,0.0,0.0
603693.SH,23,1.572852027965864,0.1558734792650065,0.443588663860748,-0.415252775797254
600106.SH,12,-0.42081803308176635,-0.07468749617138926,-0.5635005595623024,-0.47039543158519215
501200.SH,7,-0.1028044330559984,-0.027181527942359174,-0.2585297490211848,-0.3699172598516036
159976.SZ,8,-0.15932240421178112,-0.0338237557814961,-0.5962776355412888,-0.17745913673289623
300589.SZ,28,1.1284866132966407,0.11334399180958998,0.31227091944144825,-0.33117799663168357
600021.SH,15,0.22367363076136182,0.029105941244441658,0.03981475145695473,-0.5042220681128792
003003.SZ,10,0.23779965876833398,0.0495791694458072,0.11684071772461452,-0.3899690951876924
600966.SH,17,0.023787463065057857,0.003350748208766463,-0.07960523762751483,-0.4438733024294287
111010.SH,3,-0.004417198636713859,-0.00193493078948348,-0.7250343279520101,-0.03624999999999996
600522.SH,25,0.40955336344642324,0.049999885929129295,0.12063026215668968,-0.5211605018566752
600183.SH,32,1.6778996391685501,0.1502791565460293,0.5345408036255054,-0.3807676811564007
301588.SZ,5,0.06354688339409531,0.05896282041084788,0.26659830715122634,-0.18813725211432739
002126.SZ,24,-0.32156917537781904,-0.05365050791319237,-0.2732672887972758,-0.6783367337722898
688373.SH,5,0.3352497453011234,0.11708897964491949,0.27221978810612674,-0.4720121028744327
881330.SH,12,0.01106258923126724,0.0015649374424091533,-0.6777529818718483,-0.05524908968118476
600918.SH,6,-0.29749883413050204,-0.07222389824859432,-0.8020772241286278,-0.3961967586242891
002752.SZ,13,-0.3673664082279021,-0.06300477990800446,-0.4197713961442652,-0.5478262644201971
512680.SH,17,0.34879811782463666,0.043445132382670115,0.15471303760133948,-0.24899048261046136
600578.SH,4,0.10492857220417395,0.014283069382842628,-0.07505249804395618,-0.10759493670886076
300185.SZ,8,-0.5179223960692287,-0.09882766462004444,-0.5598855193164327,-0.5983967170476753
002583.SZ,19,0.33605111691926526,0.04203782242567122,0.08406171428429852,-0.5981401891162111
002167.SZ,15,-0.3362714318005249,-0.05659285974494088,-0.2830089971617929,-0.6250162720852995
300807.SZ,20,0.46906278446691396,0.0781565085684599,0.15398980365766674,-0.5377928460832058
511820.SH,4,0.0005000107062207437,7.105227429926586e-05,-8.891425372736327,-0.004696162524744128
002771.SZ,26,-0.2511663484245559,-0.04027647271355972,-0.18896084787545156,-0.5686056585358863
