公告日期,机构持有比例,个人持有比例,内部持有比例,总份额(亿份)
2025-12-31,76.83,23.17,37.91,86.23
2025-06-30,77.88,22.12,34.79,60.35
2024-12-31,85.26,14.74,29.16,65.46
2024-06-30,85.23,14.77,41.97,48.63
2023-12-31,77.55,22.45,48.05,32.80
2023-06-30,71.84,28.16,43.54,20.61
2022-12-31,55.13,44.87,42.34,12.86
2022-06-30,60.60,39.40,48.84,15.09
2021-12-31,56.41,43.59,30.87,12.17
2021-06-30,48.03,51.97,32.91,9.82
2020-12-31,59.70,40.30,45.11,12.66
2020-06-30,23.47,76.53,0.00,8.44
2019-12-13,14.75,85.25,0.00,9.93
