公告日期,机构持有比例,个人持有比例,内部持有比例,总份额(亿份)
2025-12-31,32.95,67.05,24.56,744.24
2025-06-30,33.40,66.60,24.16,789.61
2024-12-31,32.12,67.88,23.72,767.70
2024-06-30,32.47,67.53,24.86,732.70
2023-12-31,36.94,63.06,25.04,678.85
2023-06-30,39.80,60.20,24.44,538.04
2022-12-31,48.96,51.04,27.22,342.48
2022-06-30,50.35,49.65,31.46,251.39
2021-12-31,47.99,52.01,34.20,207.95
2021-06-30,60.74,39.26,55.35,60.73
2020-12-31,10.84,89.16,0.81,5.44
2020-06-30,13.98,86.02,0.00,6.23
2019-12-31,11.21,88.79,0.00,3.08
2019-06-10,28.47,71.53,0.00,2.49
