公告日期,机构持有比例,个人持有比例,内部持有比例,总份额(亿份)
2025-12-31,49.26,37.52,13.22,84.09
2025-06-30,45.62,30.13,24.25,42.58
2024-12-31,39.15,32.64,28.21,25.28
2024-06-30,52.24,15.05,32.71,24.56
2023-12-31,38.16,19.84,42.01,8.25
2023-06-30,49.18,18.53,32.29,18.54
2022-12-31,40.55,24.25,35.20,21.24
2022-06-30,30.79,22.54,46.68,20.13
2021-12-31,19.76,36.38,43.86,15.92
2021-06-30,29.85,32.68,37.47,5.72
2020-12-31,15.07,54.11,30.82,4.55
2020-06-30,14.26,74.28,11.46,2.43
2020-02-24,3.12,96.88,0.00,3.93
