代码,名称,总市值(亿),流通市值(亿),涨幅%,市盈率,换手率%
300057.SZ,万顺新材,84.00,69.55,-3.90,95.73,5.38
300497.SZ,富祥股份,83.06,69.78,-0.77,33.93,2.84
603489.SH,八方股份,81.88,81.88,-4.30,45.74,1.50
002293.SZ,罗莱生活,81.88,81.27,-1.41,13.87,0.56
301349.SZ,信德新材,81.81,64.60,-2.25,65.32,6.54
300206.SZ,理邦仪器,80.11,46.76,0.51,19.07,2.04
600203.SH,福日电子,79.64,79.64,-4.00,42.89,8.24
300700.SZ,岱勒新材,77.42,52.77,-2.11,785.49,2.43
688179.SH,阿拉丁,77.29,77.29,-4.09,66.41,2.33
600433.SH,冠豪高新,77.19,77.19,-4.55,10.72,3.48
600251.SH,冠农股份,77.16,77.16,-3.22,6.62,1.11
603496.SH,恒为科技,76.47,76.47,-7.05,328.64,5.25
002386.SZ,天原股份,74.58,74.57,-3.86,24.35,1.25
000019.SZ,深粮控股,74.45,26.89,-1.22,28.66,1.38
301176.SZ,逸豪新材,73.07,70.90,-6.49,194.53,5.10
300292.SZ,吴通控股,70.71,58.81,-5.56,42.78,5.51
603269.SH,海鸥股份,69.56,69.56,2.41,77.62,8.57
300082.SZ,奥克股份,67.94,67.75,-4.86,822.10,1.97
301042.SZ,安联锐视,67.79,64.19,-2.77,150.71,0.39
002263.SZ,大东南,66.87,66.87,-4.30,386.93,2.84
002229.SZ,鸿博股份,66.04,65.64,-4.38,-52.09,6.37
688646.SH,ST逸飞,65.75,40.49,-3.38,-68.54,1.61
603090.SH,宏盛股份,65.61,65.61,-5.28,95.17,4.05
300490.SZ,华自科技,63.71,62.84,-3.79,19.19,2.93
301365.SZ,矩阵股份,62.75,42.19,-1.66,-100.88,1.59
002443.SZ,金洲管道,60.85,60.68,-2.50,38.11,4.07
301172.SZ,君逸数码,60.76,34.80,-2.27,680.97,4.43
300006.SZ,莱美药业,60.50,60.50,3.06,-100.76,2.51
301075.SZ,多瑞医药,60.24,60.24,-1.41,-107.82,1.81
002066.SZ,瑞泰科技,59.38,58.40,-1.25,-464.52,2.08
002884.SZ,凌霄泵业,58.16,44.40,-1.99,14.85,0.64
301237.SZ,和顺科技,58.13,42.32,-2.54,1237.50,3.13
000720.SZ,新能泰山,57.55,57.55,-2.76,-64.61,3.12
301282.SZ,金禄电子,57.31,47.98,-6.15,160.76,5.58
301186.SZ,超达装备,52.45,49.32,-2.51,82.19,1.27
002005.SZ,ST德豪,50.82,50.81,-2.36,136.82,0.54
301313.SZ,凡拓数创,49.62,37.67,-5.40,-49.35,12.40
003000.SZ,劲仔食品,48.25,32.96,-0.47,16.93,0.95
605268.SH,王力安防,46.91,46.30,-1.96,40.67,0.99
000890.SZ,法尔胜,43.46,43.46,-2.91,-118.28,5.44
301255.SZ,通力科技,41.87,10.47,-13.01,155.67,15.72
603967.SH,中创物流,41.60,41.60,-3.07,10.52,0.93
001300.SZ,三柏硕,38.81,38.81,-2.27,-150.81,0.90
300501.SZ,海顺新材,38.56,19.77,0.29,-89.00,3.95
300931.SZ,通用电梯,38.13,30.65,-1.94,-75.09,1.66
002259.SZ,升达林业,37.77,37.77,-2.90,12.27,1.50
000626.SZ,远大控股,37.59,37.38,-3.01,16.10,1.35
301555.SZ,惠柏新材,37.50,19.65,-4.08,69.14,8.91
603577.SH,汇金通,37.34,37.34,-0.36,68.63,1.58
002795.SZ,永和智控,35.91,35.32,-6.34,13.20,4.42
300032.SZ,金龙机电,35.90,35.90,-3.87,-44.57,2.21
301552.SZ,科力装备,33.97,8.49,-3.65,33.66,3.20
603017.SH,中衡设计,33.92,33.92,-4.44,40.47,2.83
301223.SZ,中荣股份,33.14,33.14,-1.15,19.38,0.61
002248.SZ,华东数控,32.78,32.78,-7.30,100.82,5.29
002763.SZ,汇洁股份,32.22,23.86,-3.20,8.78,1.88
301469.SZ,恒达新材,30.85,15.88,-1.77,30.82,2.50
603048.SH,浙江黎明,30.49,30.49,-2.67,48.10,0.82
000978.SZ,桂林旅游,30.48,30.47,-0.76,-64.39,1.90
301198.SZ,喜悦智行,29.98,27.60,-7.02,-6272.09,4.04
600573.SH,惠泉啤酒,29.70,29.70,0.68,90.28,3.44
300845.SZ,捷安高科,29.57,20.68,-2.77,-53.06,3.21
002136.SZ,安 纳 达,29.22,29.14,-3.21,98.55,1.84
300254.SZ,仟源医药,29.22,25.78,-3.88,218.55,4.58
300097.SZ,智云股份,28.42,26.60,0.92,-42.31,3.18
001366.SZ,播恩集团,26.91,26.91,-9.99,73.54,5.89
301314.SZ,科瑞思,26.18,8.65,-3.54,640.35,4.60
301353.SZ,普莱得,26.00,8.44,-2.47,44.23,3.99
600847.SH,万里股份,23.18,23.18,-5.03,-40.22,2.29
300462.SZ,ST华铭,22.98,17.50,-2.01,-32.16,1.40
003003.SZ,天元股份,21.42,14.28,-3.58,33.93,3.44
603709.SH,中源家居,20.79,20.63,-3.57,255.09,1.63
002188.SZ,中天服务,20.35,16.01,-3.27,80.47,3.83
300923.SZ,研奥股份,19.02,18.47,-4.16,283.98,2.51
300054.SZ,鼎龙股份,0,0,0,0,0
